Year,Month,Day,°­¼ö·®(mm)
2024,4,12,0.0
2024,4,13,0.0
2024,4,14,0.0
2024,4,15,7.5
2024,4,16,0.5
2024,4,17,0.0
2024,4,18,0.0
2024,4,19,0.0
2024,4,20,3.5
2024,4,21,0.1
2024,4,22,0.0
2024,4,23,0.0
2024,4,24,4.3
2024,4,25,0.0
2024,4,26,0.0
2024,4,27,0.0
2024,4,28,0.0
2024,4,29,0.8
2024,4,30,0.0
2024,5,1,0.0
2024,5,2,0.0
2024,5,3,0.0
2024,5,4,0.0
2024,5,5,55.4
2024,5,6,2.0
2024,5,7,14.1
2024,5,8,1.8
2024,5,9,0.0
2024,5,10,0.0
2024,5,11,8.5
2024,5,12,3.1
2024,5,13,0.0
2024,5,14,0.0
2024,5,15,8.7
2024,5,16,3.0
2024,5,17,0.0
2024,5,18,0.0
2024,5,19,0.0
2024,5,20,0.0
2024,5,21,0.0
2024,5,22,0.0
2024,5,23,0.0
2024,5,24,0.0
2024,5,25,0.0
2024,5,26,30.2
2024,5,27,0.0
2024,5,28,0.0
2024,5,29,0.0
2024,5,30,0.0
2024,5,31,0.0
2024,6,1,0.0
2024,6,2,0.0
2024,6,3,0.0
2024,6,4,0.0
2024,6,5,0.0
2024,6,6,0.0
2024,6,7,0.0
2024,6,8,4.7
2024,6,9,0.0
2024,6,10,0.0
2024,6,11,0.0
2024,6,12,0.0
2024,6,13,0.0
2024,6,14,0.0
2024,6,15,2.8
2024,6,16,0.0
2024,6,17,0.0
2024,6,18,0.0
2024,6,19,0.0
2024,6,20,0.0
2024,6,21,0.0
2024,6,22,13.2
2024,6,23,1.1
2024,6,24,0.0
2024,6,25,0.0
2024,6,26,0.0
2024,6,27,0.0
2024,6,28,0.0
2024,6,29,45.1
2024,6,30,10.0
2024,7,1,0.0
2024,7,2,57.0
2024,7,3,31.9
2024,7,4,0.0
2024,7,5,3.9
2024,7,6,0.1
2024,7,7,36.2
2024,7,8,137.5
2024,7,9,15.3
2024,7,10,88.6
2024,7,11,2.4
2024,7,12,0.0
2024,7,13,4.9
2024,7,14,0.0
2024,7,15,0.2
2024,7,16,45.6
2024,7,17,0.8
2024,7,18,28.8
2024,7,19,1.4
2024,7,20,15.2
2024,7,21,1.5
2024,7,22,0.0
2024,7,23,3.9
2024,7,24,2.5
2024,7,25,0.1
2024,7,26,1.3
2024,7,27,6.0
2024,7,28,0.0
2024,7,29,0.0
2024,7,30,0.0
2024,7,31,0.0
2024,8,1,0.0
2024,8,2,0.0
2024,8,3,0.0
2024,8,4,0.9
2024,8,5,34.3
2024,8,6,0.0
2024,8,7,1.0
2024,8,8,0.0
2024,8,9,0.0
2024,8,10,0.0
2024,8,11,0.0
2024,8,12,0.0
2024,8,13,19.3
2024,8,14,0.0
2024,8,15,0.0
2024,8,16,0.0
2024,8,17,0.0
2024,8,18,0.0
2024,8,19,0.1
2024,8,20,17.0
2024,8,21,3.8
2024,8,22,0.5
2024,8,23,0.0
2024,8,24,6.8
2024,8,25,0.5
2024,8,26,0.0
2024,8,27,0.1
2024,8,28,0.0
2024,8,29,3.0
2024,8,30,0.0
2024,8,31,0.0
2024,9,1,0.0
2024,9,2,0.0
2024,9,3,0.0
2024,9,4,0.0
2024,9,5,0.0
2024,9,6,0.5
2024,9,7,0.0
2024,9,8,0.0
2024,9,9,0.0
2024,9,10,0.0
2024,9,11,21.2
2024,9,12,4.1
2024,9,13,0.0
2024,9,14,0.0
2024,9,15,0.0
2024,9,16,0.0
2024,9,17,0.0
2024,9,18,2.0
2024,9,19,0.0
2024,9,20,45.6
2024,9,21,131.2
2024,9,22,0.0
2024,9,23,0.0
2024,9,24,0.0
2024,9,25,0.0
2024,9,26,0.0
2024,9,27,0.0
2024,9,28,0.0
2024,9,29,0.0
2024,9,30,0.0
2024,10,1,2.0
2024,10,2,0.0
2024,10,3,4.0
2024,10,4,0.0
2024,10,5,0.0
2024,10,6,0.2
2024,10,7,2.3
2024,10,8,0.0
2024,10,9,0.0
2024,10,10,0.0
2024,10,11,0.0
2024,10,12,0.0
2024,10,13,0.0
2024,10,14,8.3
2024,10,15,33.5
2024,10,16,0.0
2024,10,17,0.0
2024,10,18,41.6
2024,10,19,1.9
2024,10,20,0.0
2024,10,21,0.4
2024,10,22,13.1
2024,10,23,1.2
